artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
NGHTMRE,GUD VIBRATIONS,0.0002,0.514,0.924,0.805,0.0684,-5.417,0.052,151.994,0.0675
Zeds Dead,Back Home (feat. Freddie Gibbs),0.057,0.489,0.574,0,0.174,-6.415,0.174,127.743,0.0681
HOMESHAKE,Give It to Me,0.18,0.529,0.644,0.188,0.493,-7.383,0.069,57.107,0.0682
Stwo,Fill The Void (feat. Amir Obè & Daniel Caesar),0.493,0.335,0.475,0.0002,0.11,-7.946,0.0961,179.919,0.0683
DJ Shadow,Blood On The Motorway,0.0732,0.352,0.609,0.546,0.0696,-10.447,0.0413,115.896,0.0686
dvsn,Run Away,0.1,0.764,0.33,0.506,0.139,-12.801,0.0427,119.978,0.0686
dvsn,Run Away,0.1,0.764,0.33,0.506,0.139,-12.801,0.0427,119.978,0.0686
RAC,We Belong - Odesza Remix,0.0006,0.518,0.762,0.0967,0.132,-8.276,0.0429,114.984,0.0697
Nirvana,"Endless, Nameless",0.0004,0.266,0.964,0.889,0.084,-5.693,0.131,130.065,0.0697
Nirvana,"Endless, Nameless",0.0004,0.266,0.964,0.889,0.084,-5.693,0.131,130.065,0.0697
Uncle Tupelo,Sandusky,0.161,0.525,0.594,0.949,0.0751,-14.033,0.0907,157.917,0.0703
Ray Volpe,Sell Out,0.0027,0.601,0.972,0.0002,0.226,-1.36,0.135,149.998,0.0704
Kill The Noise,Dolphin On Wheels,0.0033,0.725,0.98,0.326,0.129,-3.685,0.147,129.97,0.0707
Majid Jordan,Her,0.0037,0.675,0.5,0.0027,0.114,-6.6,0.0516,90.029,0.0709
Snails,King Is Back - Mastadon Remix,0.0004,0.482,0.961,0.0167,0.423,-5.099,0.069,139.955,0.0712
Massive Attack,What Your Soul Sings,0.0232,0.477,0.631,0.599,0.584,-10.503,0.0461,146.04,0.0713
Massive Attack,Hymn Of The Big Wheel - 2012 Mix/Master,0.0527,0.619,0.515,0.0009,0.105,-12.188,0.181,192.72,0.0715
The Game,See No Evil,0.569,0.52,0.435,0,0.161,-9.147,0.284,101.584,0.0717
Two Feet,Same Old Song (S.O.S. Part 1),0.764,0.416,0.523,0.102,0.368,-6.644,0.036,119.307,0.0719
LCD Soundsystem,black screen,0.321,0.584,0.433,0.923,0.0912,-14.59,0.0253,100.01,0.0721
Sullivan King,Don't Go - Bandlez Remix,0.0066,0.422,0.935,0.0002,0.49,-2.878,0.387,149.537,0.0722
U137,Watching the Storm,0.298,0.407,0.411,0.935,0.0956,-11.733,0.0347,100.01,0.0723
Kill The Noise,Without A Trace (feat. Stalking Gia) - Rezz Remix,0.0237,0.617,0.72,0.47,0.084,-7.331,0.0347,99.993,0.0725
Krovostok,Пожар,0.24,0.934,0.486,0.0402,0.113,-10.24,0.259,140.061,0.0725
The Prodigy,Climbatize,0.0005,0.561,0.951,0.909,0.0826,-5.854,0.0581,129.041,0.0726
A$AP Ferg,Mad Man,0.0956,0.654,0.762,0,0.171,-3.994,0.0705,132.1,0.0728
Aazar,Gyal,0.0021,0.413,0.857,0.92,0.0981,-4.974,0.0482,100.095,0.073
Liquid Stranger,Jello Stream,0.0002,0.483,0.597,0.653,0.263,-6.768,0.0386,54.951,0.0735
The Bloody Beetroots,Albion,0.0016,0.502,0.677,0.638,0.108,-6.131,0.0644,129.995,0.0741
G Herbo,Up It,0.0072,0.644,0.48,0,0.284,-6.619,0.182,79.892,0.0744
